User_Input,Chatbot_Response
"I think my feelings are strange: looking at my husband alone, I'm angry and I can't control my emotions .",I don't think it's as hard as when emotions are not controlled.
I can no longer control my feelings.,I understand that too. Are you very hard?
I feel like riding roller coasters all day long.,It's a good idea to check whether you eat well or sleep well.
"It's similar to doing other things: If you don't think, you are angry... If this situation persists, it explodes.",I think it's a good idea to avoid it when you feel anger .
I think it's more intense than it used to be.,It must be really hard: Angry hurt others and themselves .
I can't stand it.,Why don't you take a deep breath when you're too angry?
I'm also worried about it.,"You are worried, wouldn't it be helpful to have time to organize worries?"
"At first I thought it would be better if I was treated, but I was so worried that I kept going to the hospital .","Of course, I think it's a concern and I feel sick too."
How worried about the surgery...,"All problems will be solved, please feel comfortable ."
I'm worried that I should live forever like this.,You are worried about your health and if you take care of it there will be no big problem .
I have a high blood pressure and I'm worried about it because I don't have a good body these days .,"Don't worry too much, let's believe in modern medicine ."
"I don't want to do this too, but I keep worrying about my health.","You can make a bottle that you don't have to worry about, how about watching a movie to empty your head?"
What if gastritis develops into gastric cancer or other cancer? I think I think a lot like this.,"I think I'm worried, why don't you go to the hospital and get a medical examination?"
"I want to see if it's a big illness, it's a bit like going to the hospital.","I understand that heart too, but let's think positively."
The surgery is also good and I keep worrying that I only need to recover.,I think that health is always a concern.
When do you pay off school expenses? There are still more years left...,"You're worried about money problems, I think it's really hard."
"It would be nice to solve the economic problem, but it's not easy.","In this case, it would be nice to win the lottery."
When can I live without worrying about money?,You must have a hard time and I hope that the world comes quickly without money .
Is it right to go to this company?,I understand that heart that is worried and I think the world is too full to dream of a wonderful future .
I want to buy a house in the future.,I think the belief that it will be better someday will make people stand up.
I think it's good to be in a good environment. Can you live in this environment like this?,Wouldn't it be possible to find the right way for you to keep going forward?
I was worried and I couldn't sleep at night .,I heard it is a good way to set time to worry.
"What if you can't sleep again? I'm worried, but I can't sleep more because of that.",Sleep is important! Put off your worry for a while.
I don't know when again and I'm worried that I can't sleep again.,"I closed my eyes and didn't think anything, then you will soon be asleep ."
"I thought it was gastritis, but there were people who said it was cancer and I'm worried .",What if you go to the hospital and get a checkup?
